Код;КЧ;Наименование профессии;Наименование должности;Код категории;Код выпуска ЕТКС;Код по ОКЗ;autokey
11511;5;Выбивщик титановой губки;;8;7214;;classifierOkpdtr_11511
11513;4;Выборщик;;59;7344;;classifierOkpdtr_11513
11515;3;Выборщик камней;;10;7311;;classifierOkpdtr_11515
11517;2;Выборщик металлического натрия;;25;8229;;classifierOkpdtr_11517
11519;1;Выборщик солодкового корня;;55;8278;;classifierOkpdtr_11519
11521;9;Выборщик-сортировщик огнеупорного лома;;7;8125;;classifierOkpdtr_11521
11522;3;Выборщик-укладчик камня;;4;7111;;classifierOkpdtr_11522
11524;2;Выборщик фарфоровых, фаянсовых и керамических изделий;;45;7321;;classifierOkpdtr_11524
11526;1;Выгребальщик костры;;47;7431;;classifierOkpdtr_11526
11528;0;Выгребальщик очеса;;47;7431;;classifierOkpdtr_11528
11529;5;Выгребальщик пуха и отходов;;47;7431;;classifierOkpdtr_11529
11531;2;Выгружальщик хлопка;;47;7431;;classifierOkpdtr_11531
11532;7;Выгрузчик блоков полимера;;32;8231;;classifierOkpdtr_11532
11534;6;Выгрузчик горячего агломерата;;4;8125;;classifierOkpdtr_11534
11536;5;Выгрузчик древесины из воды;;39;6141;;classifierOkpdtr_11536
11538;4;Выгрузчик извести из печей;;42;7450;;classifierOkpdtr_11538
11540;1;Выгрузчик мышьяка;;4;8125;;classifierOkpdtr_11540
11541;6;Выгрузчик огнеупорных материалов из печей;;7;8125;;classifierOkpdtr_11541
11543;5;Выгрузчик на отвалах;;4;7111;;classifierOkpdtr_11543
11545;4;Выгрузчик пыли;;4;9322;;classifierOkpdtr_11545
11546;9;Выгрузчик шахтных печей;;42;7450;;classifierOkpdtr_11546
11548;8;Выдувальщик стеклоизделий;;44;8132;;classifierOkpdtr_11548
11550;5;Выемщик варочных камер;;33;8231;;classifierOkpdtr_11550
11552;4;Выжигальщик древесного угля;;39;6142;;classifierOkpdtr_11552
11554;3;Выжигальщик по дереву;;65;7331;;classifierOkpdtr_11554
11555;8;Выжигальщик рисунков;;47;7432;;classifierOkpdtr_11555
11557;7;Вызывальщик локомотивных и поездных бригад;;56;9332;;classifierOkpdtr_11557
11559;6;Выливщик-заливщик металла;;8;8121;;classifierOkpdtr_11559
11561;3;Выпарщик капо-корня;;65;7331;;classifierOkpdtr_11561
11563;2;Выпарщик соли;;55;8273;;classifierOkpdtr_11563
11564;7;Выпарщик щелоков;;41;8142;;classifierOkpdtr_11564
11566;6;Выравнивальщик кожаных деталей;;65;7332;;classifierOkpdtr_11566
11568;5;Выравнивальщик толщины деталей и полуфабрикатов;;48;7441;;classifierOkpdtr_11568
11570;2;Вырезальщик фестонов;;47;7432;;classifierOkpdtr_11570
11572;1;Вырубщик деталей;;48;8265;;classifierOkpdtr_11572
11574;0;Вырубщик заготовок и изделий;;33;8231;;classifierOkpdtr_11574
11576;6;Вытягивальщик ремней;;47;8261;;classifierOkpdtr_11576
11578;9;Выставщик;;42;7450;;classifierOkpdtr_11578
11579;3;Выстилальщик кожевенно-мехового сырья и голья;;48;7441;;classifierOkpdtr_11579
11581;0;Вышивальщик по коже и меху;;65;7332;;classifierOkpdtr_11581
11583;2;Вышивальщица;;49;7443;;classifierOkpdtr_11583
11585;9;Вышивальщица текстильно-галантерейных изделий;;47;8263;;classifierOkpdtr_11585
11587;8;Вышкомонтажник;;6;8113;;classifierOkpdtr_11587
11588;2;Вышкомонтажник-сварщик;;6;8113;;classifierOkpdtr_11588
11590;9;Вышкомонтажник-электромонтер;;6;8113;;classifierOkpdtr_11590
11592;9;Вязальщик;;29;7432;;classifierOkpdtr_11592
11594;8;Вязальщик польстерных щеток;;56;7432;;classifierOkpdtr_11594
11596;7;Вязальщик прутков и проволоки;;19;9321;;classifierOkpdtr_11596
11598;6;Вязальщик схемных жгутов, кабелей и шнуров;;21;7242;;classifierOkpdtr_11598
11600;4;Вязальщица текстильно-галантерейных изделий;;47;7432;;classifierOkpdtr_11600
11602;9;Вязальщица трикотажных изделий, полотна;;47;8262;;classifierOkpdtr_11602
11607;1;Газовщик;;1;8125;;classifierOkpdtr_11607
11609;0;Газовщик доменной печи;;7;8121;;classifierOkpdtr_11609
11611;8;Газовщик коксовых печей;;7;8125;;classifierOkpdtr_11611
11612;2;Газовщик шахтной печи;;7;8121;;classifierOkpdtr_11612
11614;1;Газогенераторщик;;1;8159;;classifierOkpdtr_11614
11616;0;Газомерщик;;4;9311;;classifierOkpdtr_11616
11618;0;Газорезчик;;2;7112;;classifierOkpdtr_11618
11620;7;Газосварщик;;2;7212;;classifierOkpdtr_11620
11622;6;Газоспасатель;;1;5164;;classifierOkpdtr_11622
11624;5;Галтовщик деталей часов и камней;;10;7311;;classifierOkpdtr_11624
11625;7;Галтовщик игольно-платинных изделий;;11;9322;;classifierOkpdtr_11625
11627;9;Галтовщик радиодеталей;;20;9322;;classifierOkpdtr_11627
11629;8;Гальваник;;2;7250;;classifierOkpdtr_11629
11631;5;Гальванотипист;;59;7342;;classifierOkpdtr_11631
11633;4;Гардеробщик;;1;9411;;classifierOkpdtr_11633
11635;3;Гарнировщик музыкальных инструментов;;63;7312;;classifierOkpdtr_11635
11636;8;Гарнитурщик химического прядения;;28;8228;;classifierOkpdtr_11636
11640;4;Гасильщик извести;;42;7450;;classifierOkpdtr_11640
11642;3;Гелиотропист;;5;7620;;classifierOkpdtr_11642
11644;2;Генераторщик;;55;8271;;classifierOkpdtr_11644
11646;1;Генераторщик ацетиленовой установки;;1;8159;;classifierOkpdtr_11646
11648;0;Герметизаторщик;;22;7232;;classifierOkpdtr_11648
11652;7;Гибщик судовой;;23;7232;;classifierOkpdtr_11652
11654;6;Гибщик труб;;2;7217;;classifierOkpdtr_11654
11655;0;Гибщик фибры;;41;8143;;classifierOkpdtr_11655
11659;9;Гидрогенизаторщик;;55;8271;;classifierOkpdtr_11659
11663;5;Гидромониторщик;;4;8111;;classifierOkpdtr_11663
11664;2;Гидропескоструйщик;;2;7138;;classifierOkpdtr_11664
11666;9;Гидротермист;;42;7450;;classifierOkpdtr_11666
11668;8;Гидроциклонщик;;55;8274;;classifierOkpdtr_11668
11670;5;Гидрочистильщик;;2;7138;;classifierOkpdtr_11670
11672;4;Гильошир;;59;7343;;classifierOkpdtr_11672
11674;3;Гильоширщик;;44;7324;;classifierOkpdtr_11674
11676;2;Гладильщик;;66;5145;;classifierOkpdtr_11676
11678;1;Глазировщик;;55;7412;;classifierOkpdtr_11678
11680;9;Глазировщик мороженого и сырков;;52;7416;;classifierOkpdtr_11680
11682;8;Глазуровщик изделий строительной керамики;;45;7324;;classifierOkpdtr_11682
11684;7;Глазуровщик фарфоровых и фаянсовых изделий;;45;7324;;classifierOkpdtr_11684
11686;6;Глазуровщик электрокерамических изделий;;45;7324;;classifierOkpdtr_11686
11690;2;Гнутарь по дереву;;40;7422;;classifierOkpdtr_11690
11691;7;Голлендорщик;;42;7450;;classifierOkpdtr_11691
11693;6;Гончар;;45;7321;;classifierOkpdtr_11693
11695;5;Горничная;;1;9132;;classifierOkpdtr_11695
11697;4;Горновой десульфурации чугуна;;7;8121;;classifierOkpdtr_11697
11699;3;Горновой доменной печи;;7;8121;;classifierOkpdtr_11699
11700;2;Горновой на агломерации и обжиге;;4;8121;;classifierOkpdtr_11700
11702;1;Горновой ферросплавных печей;;7;8121;;classifierOkpdtr_11702
11704;0;Горновой шахтной печи;;7;8121;;classifierOkpdtr_11704
11706;7;Горномонтажник подземный;;4;8150;;classifierOkpdtr_11706
11708;9;Горнорабочий;;4;7111;;classifierOkpdtr_11708
11710;6;Горнорабочий на геологических работах;;4;7111;;classifierOkpdtr_11710
11711;0;Горнорабочий на маркшейдерских работах;;4;7111;;classifierOkpdtr_11711
11715;9;Горнорабочий очистного забоя;;4;7111;;classifierOkpdtr_11715
11717;8;Горнорабочий подземный;;4;7111;;classifierOkpdtr_11717
11719;7;Горнорабочий по предупреждению и тушению пожаров;;4;7111;;classifierOkpdtr_11719
11721;4;Горнорабочий по ремонту горных выработок;;4;7111;;classifierOkpdtr_11721
11723;3;Горнорабочий разреза;;4;7111;;classifierOkpdtr_11723
11725;2;Горнорабочий россыпных месторождений;;4;7111;;classifierOkpdtr_11725
11726;7;Горнорабочий у экскаваторов, отвальных мостов и отвалообразователей;;4;7111;;classifierOkpdtr_11726
11728;6;Гофрировщик винипласта;;27;8232;;classifierOkpdtr_11728
11730;3;Гофрировщик меховых камер;;63;7312;;classifierOkpdtr_11730
11731;8;Гофрировщик протезов кровеносных сосудов;;47;8269;;classifierOkpdtr_11731
11733;7;Гофрировщик трубок;;33;8231;;classifierOkpdtr_11733
11735;6;Гравер;;2;7324;;classifierOkpdtr_11735
11736;0;Гравер;;47;8269;;classifierOkpdtr_11736
11737;5;Гравер валов;;41;7343;;classifierOkpdtr_11737
11739;4;Гравер оригиналов топографических карт;;5;7620;;classifierOkpdtr_11739
11741;1;Гравер печатных форм;;59;7343;;classifierOkpdtr_11741
11743;0;Гравер стекла;;44;7323;;classifierOkpdtr_11743
11745;2;Гравер шрифта;;59;7343;;classifierOkpdtr_11745
11747;9;Градуировщик;;2;7324;;classifierOkpdtr_11747
11748;3;Градуировщик оптических деталей;;71;7260;;classifierOkpdtr_11748
11750;0;Градуировщик радиоаппаратуры;;21;7242;;classifierOkpdtr_11750
11752;9;Гранулировщик;;31;8221;;classifierOkpdtr_11752
11753;4;Гранулировщик;;44;8139;;classifierOkpdtr_11753
11754;9;Грануляторщик;;33;8231;;classifierOkpdtr_11754
11756;8;Грануляторщик доменного шлака;;7;8125;;classifierOkpdtr_11756
11758;7;Гратосъемщик;;7;7223;;classifierOkpdtr_11758
11760;4;Графитировщик;;20;8223;;classifierOkpdtr_11760
11761;9;Графитировщик асбестовых технических изделий;;38;8212;;classifierOkpdtr_11761
11763;8;Гример-пастижер;;62;5410;;classifierOkpdtr_11763
11765;7;Грохотовщик;;4;8112;;classifierOkpdtr_11765
11766;1;Грохотчик-шуровщик;;4;8112;;classifierOkpdtr_11766
11768;0;Грузчик;;1;9413;;classifierOkpdtr_11768
11770;8;Грунтовальщик;;24;8159;;classifierOkpdtr_11770
11772;7;Грунтовщик асбестоцементных и асбестосилитовых изделий;;42;7450;;classifierOkpdtr_11772
11774;6;Грунтовщик холста и картона художественных полотен;;65;7332;;classifierOkpdtr_11774
11776;5;Грунтовщик художественных изделий из дерева;;65;7331;;classifierOkpdtr_11776
11777;1;Грунтовщик щеточных изделий;;45;9322;;classifierOkpdtr_11777
11779;9;Гуммировщик металлоизделий;;33;8231;;classifierOkpdtr_11779
11781;6;Гуртовщик;;1;6121;;classifierOkpdtr_11781
11783;5;Давильщик;;2;7217;;classifierOkpdtr_11783
11784;8;Дверевой;;7;8121;;classifierOkpdtr_11784
11786;9;Дворник;;1;9414;;classifierOkpdtr_11786
11790;5;Девулканизаторщик;;33;8231;;classifierOkpdtr_11790
11792;4;Дегоржер;;55;8278;;classifierOkpdtr_11792
11794;3;Дежурный зала игральных автоматов, аттракционов и тиров;;80;9415;;classifierOkpdtr_11794
11796;2;Дежурный по переезду;;56;8312;;classifierOkpdtr_11796
11800;5;Дежурный стрелочного поста;;56;8312;;classifierOkpdtr_11800
11802;4;Дежурный у эскалатора;;1;8312;;classifierOkpdtr_11802
11804;3;Дезактиваторщик;;1;5164;;classifierOkpdtr_11804
11806;2;Дезинфектор;;1;5139;;classifierOkpdtr_11806
11807;7;Дезодораторщик сои;;55;8275;;classifierOkpdtr_11807
11809;6;Декатировщик;;47;8269;;classifierOkpdtr_11809
11811;3;Декоратор витрин;;61;5510;;classifierOkpdtr_11811
11813;2;Делильщик кружев;;47;7432;;classifierOkpdtr_11813
11815;1;Демонстратор одежды;;1;5230;;classifierOkpdtr_11815
11816;6;Демонстратор пластических поз;;61;5230;;classifierOkpdtr_11816
11817;0;Демонстратор причесок;;66;5230;;classifierOkpdtr_11817
11818;5;Денатураторщик спирта;;55;8278;;classifierOkpdtr_11818
11822;1;Дефектовщик авиационной техники;;22;7232;;classifierOkpdtr_11822
11827;4;Дефектоскопист по газовому и жидкостному контролю;;1;7233;;classifierOkpdtr_11827
11830;6;Дефектоскопист по магнитному и ультразвуковому контролю;;1;7233;;classifierOkpdtr_11830
11833;9;Дефектоскопист рентгено-, гаммаграфирования;;1;7233;;classifierOkpdtr_11833
11835;9;Дефибрерщик;;41;8142;;classifierOkpdtr_11835
11837;8;Дефростатчик пищевых продуктов;;48;7413;;classifierOkpdtr_11837
11838;2;Дизелист плавучего бурильного агрегата в море;;6;8113;;classifierOkpdtr_11838
11840;5;Дистиллировщик ртути;;19;8159;;classifierOkpdtr_11840
11842;9;Дистилляторщик ртути;;44;8159;;classifierOkpdtr_11842
11843;3;Диффузорщик целлюлозы;;41;8142;;classifierOkpdtr_11843
11845;2;Дневальный;;56;8340;;classifierOkpdtr_11845
11847;1;Доводчик;;4;8112;;classifierOkpdtr_11847
11849;0;Доводчик алмазосодержащих концентратов;;4;8112;;classifierOkpdtr_11849
11851;8;Доводчик деталей;;27;8284;;classifierOkpdtr_11851
11853;7;Доводчик-притирщик;;2;7223;;classifierOkpdtr_11853
11854;1;Доводчик угольных шайб;;19;7241;;classifierOkpdtr_11854
11856;0;Дозиметрист;;1;5164;;classifierOkpdtr_11856
11858;1;Дозировщик;;4;8112;;classifierOkpdtr_11858
11860;7;Дозировщик асбеста;;42;7450;;classifierOkpdtr_11860
11862;6;Дозировщик волокна и пленки;;35;8229;;classifierOkpdtr_11862
11863;0;Дозировщик горячего возврата;;4;8112;;classifierOkpdtr_11863
11865;8;Дозировщик дробленого камня и битума;;43;7450;;classifierOkpdtr_11865
11867;9;Дозировщик керамических материалов;;45;8133;;classifierOkpdtr_11867
11869;8;Дозировщик компонентов бетонных смесей;;42;7450;;classifierOkpdtr_11869
11871;5;Дозировщик медицинских препаратов;;31;8221;;classifierOkpdtr_11871
11872;4;Дозировщик минерализатора;;40;7421;;classifierOkpdtr_11872
11874;9;Дозировщик пищевой продукции;;51;7411;;classifierOkpdtr_11874
11876;8;Дозировщик реагентов;;4;8112;;classifierOkpdtr_11876
11878;7;Дозировщик ртути;;16;7280;;classifierOkpdtr_11878
11880;4;Дозировщик-смесительщик на шнеках;;42;7450;;classifierOkpdtr_11880
11881;9;Дозировщик сырья;;42;7450;;classifierOkpdtr_11881
11883;8;Долбежник;;2;7223;;classifierOkpdtr_11883
11885;7;Долотозаправщик;;4;7111;;classifierOkpdtr_11885
11887;6;Дорожно-путевой рабочий;;4;7111;;classifierOkpdtr_11887
11889;5;Дорожный рабочий;;3;7129;;classifierOkpdtr_11889
11891;2;Доставщик крепежных материалов в шахту;;4;7111;;classifierOkpdtr_11891
11893;1;Доставщик поездных документов;;56;9322;;classifierOkpdtr_11893
11895;0;Дояр;;70;6121;;classifierOkpdtr_11895
11897;7;Драгер;;4;8111;;classifierOkpdtr_11897
11899;9;Дражировщик;;55;7412;;classifierOkpdtr_11899
11901;2;Драпировщик;;61;5510;;classifierOkpdtr_11901
11902;7;Древопар;;41;8142;;classifierOkpdtr_11902
11904;6;Дренажист по добыче мирабилита;;4;7111;;classifierOkpdtr_11904
11906;5;Дренажник;;56;9322;;classifierOkpdtr_11906
11907;2;Дробильщик;;4;8112;;classifierOkpdtr_11907
11908;4;Дробильщик;;24;8151;;classifierOkpdtr_11908
11909;9;Дробильщик;;42;7450;;classifierOkpdtr_11909
11910;1;Дробильщик алмазов и сверхтвердых материалов;;18;7270;;classifierOkpdtr_11910
11912;0;Дробильщик извести;;42;7450;;classifierOkpdtr_11912
11914;9;Дробильщик колчедана;;41;8142;;classifierOkpdtr_11914
11916;9;Дробильщик компонентов обмазки;;14;7280;;classifierOkpdtr_11916
11917;3;Дробильщик-размольщик;;42;7450;;classifierOkpdtr_11917
11918;8;Дробильщик-размольщик;;44;8112;;classifierOkpdtr_11918
11919;2;Дробильщик-размольщик;;45;8112;;classifierOkpdtr_11919
11920;5;Дробильщик слюды;;43;7450;;classifierOkpdtr_11920
11922;4;Дробильщик теплоизоляционного сырья;;43;7450;;classifierOkpdtr_11922
11924;3;Дробильщик целлюлозы;;41;8142;;classifierOkpdtr_11924
11925;8;Дробильщик шлифзерна, шлифпорошков и шихтовых материалов;;17;7270;;classifierOkpdtr_11925
11927;7;Дробильщик электроугольного производства;;19;7280;;classifierOkpdtr_11927
11929;6;Дровокол;;39;9212;;classifierOkpdtr_11929
11930;9;Дрожжевод;;55;7412;;classifierOkpdtr_11930
11932;8;Дублировщик;;33;9321;;classifierOkpdtr_11932
11934;7;Дублировщик деталей и материалов;;48;7442;;classifierOkpdtr_11934
11936;6;Дублировщик листового материала;;24;8142;;classifierOkpdtr_11936
11939;1;Егерь;;39;6129;;classifierOkpdtr_11939
11943;6;Жаровщик;;55;7411;;classifierOkpdtr_11943
11945;5;Жестянщик;;2;7233;;classifierOkpdtr_11945
11947;4;Живописец;;45;7324;;classifierOkpdtr_11947
11949;3;Животновод;;70;6121;;classifierOkpdtr_11949
11951;0;Животновод по уходу за рабочими животными;;70;6121;;classifierOkpdtr_11951
11953;4;Жиловщик мяса и субпродуктов;;49;7411;;classifierOkpdtr_11953
11955;9;Жировальщик кож;;48;7441;;classifierOkpdtr_11955
11957;8;Жокей;;70;6130;;classifierOkpdtr_11957
11961;4;Забойщик;;4;7111;;classifierOkpdtr_11961
11963;3;Забойщик на отбойных молотках;;4;7111;;classifierOkpdtr_11963
11965;2;Заборщик фарфоровых, фаянсовых и керамических изделий;;45;8131;;classifierOkpdtr_11965
11967;1;Завальцовщик;;2;7213;;classifierOkpdtr_11967
11969;0;Завальцовщик радиодеталей;;20;7242;;classifierOkpdtr_11969
11971;8;Завальщик шихты в вагранки и печи;;2;8122;;classifierOkpdtr_11971
11973;7;Заварщик;;47;8269;;classifierOkpdtr_11973
11974;1;Заварщик изоляторов;;20;7242;;classifierOkpdtr_11974
11976;0;Заварщик на высокочастотном индукторе;;20;7242;;classifierOkpdtr_11976
11978;7;Заварщик отливок;;2;8122;;classifierOkpdtr_11978
11980;7;Заварщик пасты;;19;8290;;classifierOkpdtr_11980
11982;6;Заварщик полупроводниковых приборов;;20;7242;;classifierOkpdtr_11982
11984;5;Заварщик труб и баллонов;;7;8122;;classifierOkpdtr_11984
11985;3;Заварщик электровакуумных приборов;;20;7242;;classifierOkpdtr_11985
11989;8;Завивальщик спиралей;;10;7311;;classifierOkpdtr_11989
11990;0;Заготовитель блоков по ботанике;;60;7460;;classifierOkpdtr_11990
11993;4;Заготовитель блоков по гистологии, цитологии, эмбриологии;;60;7460;;classifierOkpdtr_11993
11995;3;Заготовитель геологических образцов;;60;7460;;classifierOkpdtr_11995
11997;2;Заготовитель продуктов и сырья;;1;7411;;classifierOkpdtr_11997
11999;1;Заготовитель смеси для цементации;;2;7121;;classifierOkpdtr_11999
12001;7;Заготовщик;;20;7242;;classifierOkpdtr_12001
12002;4;Заготовщик;;39;6141;;classifierOkpdtr_12002
12003;9;Заготовщик абразивной массы;;17;7270;;classifierOkpdtr_12003
12005;8;Заготовщик асбестовой смески;;38;7431;;classifierOkpdtr_12005
12006;2;Заготовщик асбестовых технических изделий;;38;8284;;classifierOkpdtr_12006
12008;1;Заготовщик бакелитовой, вулканитовой и эпоксидной массы;;17;7270;;classifierOkpdtr_12008
12010;9;Заготовщик бинта;;33;9321;;classifierOkpdtr_12010
12012;8;Заготовщик битума;;43;9322;;classifierOkpdtr_12012
12013;2;Заготовщик бумажных пакетов;;41;9321;;classifierOkpdtr_12013
12015;1;Заготовщик водорослей;;54;6152;;classifierOkpdtr_12015
12017;0;Заготовщик газопоглотителя;;20;7242;;classifierOkpdtr_12017
12019;3;Заготовщик деталей и материалов к ювелирным и художественным изделиям;;65;7313;;classifierOkpdtr_12019
12021;7;Заготовщик деталей электровакуумных приборов;;20;7242;;classifierOkpdtr_12021
12023;6;Заготовщик изоляционных деталей;;19;7241;;classifierOkpdtr_12023
12025;5;Заготовщик каркаса спортивных велошин;;33;9321;;classifierOkpdtr_12025
12028;9;Заготовщик карт и паковочных материалов;;47;9321;;classifierOkpdtr_12028
12030;6;Заготовщик клапанов;;41;9321;;classifierOkpdtr_12030
12032;5;Заготовщик льда;;51;7411;;classifierOkpdtr_12032
12034;4;Заготовщик материалов для прессования и отделки игрушек;;64;7460;;classifierOkpdtr_12034
12035;9;Заготовщик материалов для художественных изделий из дерева, бересты, капо-корня;;56;7331;;classifierOkpdtr_12035
12037;8;Заготовщик материалов и деталей;;45;7321;;classifierOkpdtr_12037
12039;7;Заготовщик материалов и деталей игрушек;;64;7460;;classifierOkpdtr_12039
12041;4;Заготовщик микалексовой массы;;43;7450;;classifierOkpdtr_12041
12042;9;Заготовщик мягкой тары;;46;9322;;classifierOkpdtr_12042
12044;8;Заготовщик образцов для испытания шин;;33;8231;;classifierOkpdtr_12044
12046;7;Заготовщик основы для моющих средств;;55;8229;;classifierOkpdtr_12046
12048;6;Заготовщик пленки;;44;9322;;classifierOkpdtr_12048
12050;3;Заготовщик полуфабрикатов для игрушек;;40;7460;;classifierOkpdtr_12050
12051;8;Заготовщик полуфабрикатов перевязочных материалов;;31;9321;;classifierOkpdtr_12051
12053;7;Заготовщик радиотакелажа и электрорадиоэлементов;;21;7242;;classifierOkpdtr_12053
12055;6;Заготовщик резиновых изделий и деталей;;33;8284;;classifierOkpdtr_12055
12057;5;Заготовщик слюды;;4;9311;;classifierOkpdtr_12057
12058;9;Заготовщик смеси для строительных плит из костры;;40;8285;;classifierOkpdtr_12058
12060;7;Заготовщик такелажа инженерного имущества;;33;8284;;classifierOkpdtr_12060
12062;6;Заготовщик тростника;;39;6142;;classifierOkpdtr_12062
12064;5;Заготовщик химических полуфабрикатов;;20;8229;;classifierOkpdtr_12064
12066;4;Заготовщик химических полуфабрикатов тугоплавких металлов;;8;8229;;classifierOkpdtr_12066
12068;3;Заготовщик химических растворов и красок;;47;8229;;classifierOkpdtr_12068
12070;0;Заготовщик чайных ящиков;;55;8285;;classifierOkpdtr_12070
12071;5;Заготовщик черни;;65;7313;;classifierOkpdtr_12071
12073;4;Заготовщик шиноремонтных материалов;;33;8284;;classifierOkpdtr_12073
12075;3;Заготовщик шорно-седельных изделий;;48;7442;;classifierOkpdtr_12075
12076;8;Заготовщик шприцованных деталей для шин;;33;9321;;classifierOkpdtr_12076
12078;7;Заготовщик янтаря;;65;7313;;classifierOkpdtr_12078
12080;4;Загрузчик;;4;9311;;classifierOkpdtr_12080
12082;3;Загрузчик балансов в дефибреры;;41;8142;;classifierOkpdtr_12082
12084;2;Загрузчик варочных котлов;;43;9322;;classifierOkpdtr_12084
12086;1;Загрузчик-выгрузчик;;24;8159;;classifierOkpdtr_12086
12088;0;Загрузчик-выгрузчик абразивных изделий в периодические обжигательные печи;;17;7321;;classifierOkpdtr_12088
12090;8;Загрузчик-выгрузчик вагранок и печей;;4;8125;;classifierOkpdtr_12090
12091;2;Загрузчик (выгрузчик) диффузоров;;52;7411;;classifierOkpdtr_12091
12093;1;Загрузчик-выгрузчик обжигательных печей;;45;8131;;classifierOkpdtr_12093
12095;0;Загрузчик-выгрузчик обжиговых и графитировочных печей;;8;8123;;classifierOkpdtr_12095
12097;4;Загрузчик-выгрузчик печей;;36;8155;;classifierOkpdtr_12097
12098;4;Загрузчик-выгрузчик печей обжига и графитации;;19;8152;;classifierOkpdtr_12098
12100;8;Загрузчик-выгрузчик пищевой продукции;;51;7411;;classifierOkpdtr_12100
12102;7;Загрузчик-выгрузчик сушил;;45;8131;;classifierOkpdtr_12102
12104;6;Загрузчик-выгрузчик сырья, топлива и стеновых изделий;;42;8134;;classifierOkpdtr_12104
12106;5;Загрузчик-выгрузчик термоантрацитовых печей;;7;8159;;classifierOkpdtr_12106
12108;4;Загрузчик-выгрузчик ферментационных камер;;55;7414;;classifierOkpdtr_12108
12110;1;Загрузчик древесных и костровых плит;;40;8144;;classifierOkpdtr_12110
12112;0;Загрузчик дробильно-помольного оборудования;;45;8133;;classifierOkpdtr_12112
12114;6;Загрузчик кассет;;47;9322;;classifierOkpdtr_12114
12116;9;Загрузчик колчеданных, серных печей и турм;;41;9322;;classifierOkpdtr_12116
12117;3;Загрузчик мелющих тел;;42;7450;;classifierOkpdtr_12117
12119;2;Загрузчик печей;;44;8132;;classifierOkpdtr_12119
12121;2;Загрузчик печей сопротивления;;17;7321;;classifierOkpdtr_12121
12123;9;Загрузчик-разгрузчик сушильных печей;;17;7321;;classifierOkpdtr_12123
12125;8;Загрузчик сульфата;;41;8142;;classifierOkpdtr_12125
12127;7;Загрузчик сушильных барабанов;;42;7450;;classifierOkpdtr_12127
12129;6;Загрузчик сырья;;46;8269;;classifierOkpdtr_12129
12130;9;Загрузчик сырья и полуфабриката;;7;8122;;classifierOkpdtr_12130
12132;8;Загрузчик термических печей;;7;8123;;classifierOkpdtr_12132
12134;7;Загрузчик туннельных печей;;43;7450;;classifierOkpdtr_12134
12136;6;Загрузчик химического сырья в аппараты;;48;7441;;classifierOkpdtr_12136
12138;5;Загрузчик шихты;;8;8121;;classifierOkpdtr_12138
12139;9;Загрузчик щелочи;;8;8122;;classifierOkpdtr_12139
12141;7;Закальщик изделий с хохломской росписью;;65;7331;;classifierOkpdtr_12141
12143;6;Закальщик мороженого;;52;7416;;classifierOkpdtr_12143
12145;5;Закальщик стекла;;44;8132;;classifierOkpdtr_12145
12147;4;Закатчик бумажных изделий;;41;9322;;classifierOkpdtr_12147
12149;3;Закатчик маканых изделий;;33;8284;;classifierOkpdtr_12149
12150;6;Закатчик медицинской продукции;;31;9321;;classifierOkpdtr_12150
12151;0;Заквасчик;;51;7412;;classifierOkpdtr_12151
12152;5;Закладчик хирургического шовного материала;;31;8221;;classifierOkpdtr_12152
12154;4;Закрепщик алмазов и сверхтвердых материалов;;18;7270;;classifierOkpdtr_12154
12156;3;Закройщик;;49;5146;;classifierOkpdtr_12156
12158;2;Закройщик картона, фибры и других материалов;;41;8286;;classifierOkpdtr_12158
12160;8;Закройщик-резак;;41;8286;;classifierOkpdtr_12160
12161;4;Закройщик резиновых изделий и деталей;;33;8284;;classifierOkpdtr_12161
12163;3;Заливщик анодов;;8;8122;;classifierOkpdtr_12163
12165;2;Заливщик голосовых планок;;63;7312;;classifierOkpdtr_12165
12166;7;Заливщик игольно-платинных изделий;;47;7211;;classifierOkpdtr_12166
12168;6;Заливщик камнелитейных изделий;;42;7450;;classifierOkpdtr_12168
12170;3;Заливщик кокса;;7;9322;;classifierOkpdtr_12170
12172;2;Заливщик компаундами;;20;8223;;classifierOkpdtr_12172
12174;1;Заливщик магнитных сплавов на печах-кристаллизаторах;;20;7211;;classifierOkpdtr_12174
12176;0;Заливщик металла;;2;8122;;classifierOkpdtr_12176
12180;7;Заливщик свинцово-оловянистых сплавов;;2;8122;;classifierOkpdtr_12180
12182;6;Заливщик смолкой;;19;7241;;classifierOkpdtr_12182
12183;0;Заливщик-труболитейщик;;7;8122;;classifierOkpdtr_12183
12185;0;Заливщик форм полимеризационной смесью;;27;8234;;classifierOkpdtr_12185
12187;9;Заливщик цоколей;;20;7242;;classifierOkpdtr_12187
12189;8;Замачивальщик шелка-сырца;;47;9350;;classifierOkpdtr_12189
12191;5;Замерщик дебитов скважин;;6;8113;;classifierOkpdtr_12191
12192;7;Замерщик на топографо-геодезических и маркшейдерских работах;;5;7260;;classifierOkpdtr_12192
12194;9;Замыливальщик ткани;;47;9322;;classifierOkpdtr_12194
12196;8;Запайщик ампул;;31;8221;;classifierOkpdtr_12196
12198;7;Запайщик колб и сосудов;;44;8132;;classifierOkpdtr_12198
12199;1;Запайщик фарфоровых труб;;45;8133;;classifierOkpdtr_12199
12203;4;Запарщик коконов;;47;7431;;classifierOkpdtr_12203
