prof_code,prof_name
10344,Аппаратчик-лаковар
10346,Аппаратчик лесохимической установки
10348,Аппаратчик литья и рубки
10350,Аппаратчик матирования смолы
10352,Аппаратчик мерсеризации
10353,Аппаратчик мерсеризации
10358,Аппаратчик мокрой классификации
10360,Аппаратчик мукомольного производства
10362,Аппаратчик мыловарения
10363,Аппаратчик мягчения кожевенных полуфабрикатов и меховых шкурок
10365,Аппаратчик нагрева теплоносителей
10367,Аппаратчик на изготовлении микропроводов в стеклянной изоляции
10369,Аппаратчик нанесения полимерных и парафиновых покрытий на сыры
10371,Аппаратчик на плазменных установках
10373,Аппаратчик на приготовлении смесей и растворов
10375,Аппаратчик на пропиточных агрегатах
10377,Аппаратчик напыления металлом
10379,Аппаратчик напыления стекловолокнистых материалов
10381,Аппаратчик насыщения
10383,Аппаратчик на установках деионизации
10385,Аппаратчик-нейтрализаторщик
10386,Аппаратчик нейтрализации
10388,Аппаратчик никелирования стеклоткани
10394,Аппаратчик нитрозного процесса
10396,Аппаратчик обезвоживания
11170,Бандажник
10398,Аппаратчик обезвоживания битума
10400,Аппаратчик обезвоздушивания и фильтрации
10402,Аппаратчик обезжиривания
10404,Аппаратчик обезжиривания сиропов
10407,"Аппаратчик обеззоливания, мягчения"
10409,Аппаратчик обессоливания воды
10410,Аппаратчик обесфеноливания и обеспиридинивания масел
10412,Аппаратчик обжига
10414,Аппаратчик облагораживания гексола
10416,Аппаратчик облучения жира
10418,Аппаратчик обогащения золотосодержащих руд
10420,Аппаратчик обработки
10422,Аппаратчик обработки зерна
10424,Аппаратчик обработки крови
10429,Аппаратчик обработки эфирных масел
10431,Аппаратчик окисления
10433,Аппаратчик окисления битума
10435,Аппаратчик окисления молибденовых отходов
10437,Аппаратчик окраски квасцов
10439,Аппаратчик оксимирования
10441,Аппаратчик оксихлорирования
10443,Аппаратчик-олифовар
10445,Аппаратчик омыления
10449,Аппаратчик осаждения
10451,Аппаратчик осаждения глютена
10453,Аппаратчик осушки газа
10455,Аппаратчик ориентации органического стекла
10457,Аппаратчик отбеливания
10461,Аппаратчик отверждения
10463,Аппаратчик отделки и сушки химической нити
10465,Аппаратчик отжига кристаллов корунда
10467,Аппаратчик отжига хрома
10469,Аппаратчик отжима
10471,Аппаратчик откатки
10473,Аппаратчик-отливщик кинофотоосновы и техпленок
10475,Аппаратчик-отливщик магнитных лент
10477,Аппаратчик-отливщик пленки бутафоль
10479,Аппаратчик отстаивания
10481,Аппаратчик охлаждения
10482,Аппаратчик охлаждения молочных продуктов
11174,Барильетчик
10484,Аппаратчик очистки алмазного концентрата
10486,Аппаратчик очистки газа
10488,Аппаратчик очистки жидкости
10490,Аппаратчик очистки сточных вод
10492,Аппаратчик парафинирования ткани
10494,Аппаратчик пароводотермического агрегата
10496,Аппаратчик пастеризации
10501,Аппаратчик перегонки
10503,Аппаратчик перегонки и ректификации спирта
10505,Аппаратчик перегревания
10507,Аппаратчик переработки отходов химического производства
10509,Аппаратчик переэтерификации
10511,Аппаратчик перколяции
10513,Аппаратчик печей восстановления
10515,Аппаратчик пиролиза
10517,Аппаратчик плавления
10519,Аппаратчик плюсования
10521,Аппаратчик по выработке уксуса
10523,Аппаратчик по выращиванию монокристаллов и лент
10525,Аппаратчик по выщелачиванию фибры
10527,Аппаратчик подготовки сырья и отпуска полуфабрикатов и продукции
10529,Аппаратчик-подслойщик фотостекла
10531,Аппаратчик по загрузке пека
10532,Аппаратчик по изготовлению клеевой нити
10534,Аппаратчик по изготовлению шлифовальной шкурки
10538,Аппаратчик-поливщик магнитных лент
10540,Аппаратчик-поливщик фотоэмульсий
10542,Аппаратчик поликонденсации
10544,Аппаратчик полимеризации
10546,Аппаратчик получения высокотемпературного пека
10548,Аппаратчик получения высокочистых соединений щелочных металлов
10550,Аппаратчик получения гексахлорбензола
10552,Аппаратчик получения гидроокисных соединений щелочных металлов
10554,Аппаратчик получения декстрина
10556,Аппаратчик получения закиси азота
10558,Аппаратчик получения зародышей двуокиси титана
10566,Аппаратчик получения комплексных соединений
10568,Аппаратчик получения кукурузного масла
11176,Бармен
10569,Аппаратчик получения кумароновой смолы
10571,Аппаратчик получения лаков и эмалей на полимеризаци-онных смолах
10573,Аппаратчик получения метатитановой кислоты
10575,Аппаратчик получения микронизированных материалов
10577,Аппаратчик получения нитролигнина
10579,Аппаратчик получения окислов металлов
10581,Аппаратчик получения пата
10583,Аппаратчик получения полых микросфер
10587,Аппаратчик получения сернистой кислоты
10589,Аппаратчик получения сероуглерода-сырца
10591,Аппаратчик получения сильнодействующих алкалоидов и кристаллических гликозидов
10593,Аппаратчик получения синтетических гормонов
10595,Аппаратчик получения сиропов
10598,Аппаратчик получения составов для рентгеновских экранов
10600,Аппаратчик получения сульфата аммония
10602,Аппаратчик получения сухих кормов
10603,Аппаратчик получения сухого крахмала
10605,Аппаратчик получения сырого бензола
10607,Аппаратчик получения сырого крахмала
10609,Аппаратчик получения технического углерода
10611,Аппаратчик получения трихлорпропана и дихлоргидрина
10613,Аппаратчик получения углекислоты
10615,Аппаратчик получения фосфатидов
10616,Аппаратчик получения фотогипосульфита
10618,Аппаратчик получения фурановых соединений
10620,Аппаратчик получения хлорного железа
10622,Аппаратчик получения чистого антрацена
10624,Аппаратчик получения экструзионных продуктов
10625,Аппаратчик по насасыванию диафрагм
10627,Аппаратчик по обработке и купажированию уксуса
10629,Аппаратчик по обработке сырого пектина
10631,Аппаратчик по обслуживанию рекуператоров и системы охлаждения
10633,Аппаратчик по окислению кадмия
10635,Аппаратчик по получению высокочистых материалов для полупроводникового производства
10637,Аппаратчик по приготовлению глинозема
10639,Аппаратчик по приготовлению майонеза
10641,Аппаратчик по приготовлению химреагентов
10643,Аппаратчик по производству ванадия
10645,Аппаратчик по производству и химической очистке полупроводниковых материалов
10647,Аппаратчик по производству синтетических клеящих смол
10649,Аппаратчик по производству сухой спичечной соломки
10651,Аппаратчик по разделению редкоземельных элементов
10653,Аппаратчик по регенерации селена
10655,Аппаратчик по регенерации серы
10657,Аппаратчик по сбору и обогащению шлама
10659,Аппаратчик по сушке торфа
10661,Аппаратчик по химической обработке полупроводниковых материалов
10663,Аппаратчик приготовления амальгамы натрия
10665,Аппаратчик приготовления брикетной смеси
10669,Аппаратчик приготовления высокожирных эмульсий
10671,Аппаратчик приготовления дубильных экстрактов
10673,Аппаратчик приготовления замесов
10675,Аппаратчик приготовления зубоврачебных материалов
10677,Аппаратчик приготовления инвертного сиропа
10679,Аппаратчик приготовления каменноугольного лака
10681,Аппаратчик приготовления катализатора
10683,Аппаратчик приготовления компаундов
10685,Аппаратчик приготовления косметических средств
10687,Аппаратчик приготовления кулинарных и кондитерских жиров
10689,Аппаратчик приготовления лака
10693,Аппаратчик приготовления латексной смеси
10695,Аппаратчик приготовления медицинских масс и мазей
10697,Аппаратчик приготовления мездрового клея
10698,Аппаратчик приготовления мыльного клея
10700,Аппаратчик приготовления окисленного крахмала
10702,Аппаратчик приготовления парфюмерных композиций и жидкостей
10704,Аппаратчик приготовления пасты
10706,Аппаратчик приготовления питательных сред
10708,Аппаратчик приготовления полимеризационной смеси
10710,Аппаратчик приготовления препарированной смолы
10712,Аппаратчик приготовления проявляющей пасты
10714,Аппаратчик приготовления прядильных растворов
10716,Аппаратчик приготовления резиновых клеев и покрытий
10718,Аппаратчик приготовления связующих
10720,Аппаратчик приготовления сернокислого глинозема
10722,Аппаратчик приготовления стерильных растворов
10724,Аппаратчик приготовления сырой смеси
10726,Аппаратчик приготовления тресты
10727,Аппаратчик приготовления ферментного препарата
10729,Аппаратчик приготовления химических растворов
10731,Аппаратчик приготовления электролита
10733,Аппаратчик приготовления эмульгатора
10735,Аппаратчик приготовления эмульсий
10737,Аппаратчик производства аг-соли
10739,Аппаратчик производства адипиновой кислоты
10741,Аппаратчик производства адипонитрила
10743,Аппаратчик производства азокрасителей
10745,Аппаратчик производства альбумина
10747,Аппаратчик производства аммиачной селитры
10749,Аппаратчик производства аэросилы
10751,Аппаратчик производства бакелитовой пленки
10753,Аппаратчик производства бактерийных препаратов
10755,Аппаратчик производства бертолетовой соли
10757,Аппаратчик производства борной кислоты
10758,Аппаратчик производства бульонных кубиков
10761,Аппаратчик производства гематогена и медицинской желчи
10763,Аппаратчик производства гидросульфита натрия
10765,Аппаратчик производства горного воска
10767,Аппаратчик производства двуокиси хлора
10769,Аппаратчик производства диметилтерефталата
10771,Аппаратчик производства дициандиамида
10773,Аппаратчик производства дициклопентадиена
10775,Аппаратчик производства желтого фосфора
10777,Аппаратчик производства жидкого заменителя цельного молока
10779,Аппаратчик производства заквасок
10780,Аппаратчик производства индола
10782,Аппаратчик производства казеинового клея
10784,Аппаратчик производства калиевой селитры
10925,Аппаратчик рекристаллизации
10786,Аппаратчик производства кисломолочных и детских молочных продуктов
10788,Аппаратчик производства контактной массы
10790,Аппаратчик производства контактной серной кислоты
10792,Аппаратчик производства корунда
10794,Аппаратчик производства костного клея
10796,Аппаратчик производства красителей для меха
10798,Аппаратчик производства красного фосфора
10800,Аппаратчик производства кремнийорганических лаков
10802,Аппаратчик производства креолина и лизола
10804,Аппаратчик производства криолита
10806,Аппаратчик производства литопона
10808,Аппаратчик производства малотоннажных продуктов
10810,Аппаратчик производства мездрового клея
10812,Аппаратчик производства металлического натрия
10814,Аппаратчик производства молочного сахара
10816,Аппаратчик производства мочевины
10817,Аппаратчик производства мышьяковистых солей
10819,Аппаратчик производства надперекиси калия
10821,Аппаратчик производства нейтрального кремнегеля
10823,Аппаратчик производства нитрата и нитрита натрия
10824,Аппаратчик производства нитрофоски
10826,Аппаратчик производства озокерита и озокеритовой продукции
10828,Аппаратчик производства пиридиновых оснований
10830,Аппаратчик производства пищевых жиров
10832,Аппаратчик производства плавленого сыра
10835,Аппаратчик производства продукции из кожевенных и коллагенсодержащих отходов
10836,Аппаратчик производства реагентов
10838,Аппаратчик производства регенеративных веществ
10840,Аппаратчик производства светосоставов
10842,Аппаратчик производства силикагелей
10844,Аппаратчик производства силикатного клея
10846,Аппаратчик производства синтетических красителей
10848,Аппаратчик производства смазочного масла
10850,Аппаратчик производства спектрально-чистых газов
10852,Аппаратчик производства сульфата аммония
10854,Аппаратчик производства сульфитных солей
10855,Аппаратчик производства сульфомасел и ядохимикатов
10857,Аппаратчик производства сухих молочных продуктов
10859,Аппаратчик производства термической фосфорной кислоты
10861,Аппаратчик производства технической продукции
10863,Аппаратчик производства топленого масла
10865,Аппаратчик производства тормозной жидкости и антифризов
10867,Аппаратчик производства фенилметилуретилана
10869,Аппаратчик производства ферментов и плазмозаменяющих препаратов
10871,Аппаратчик производства формованного кокса
10872,Аппаратчик производства фосфора
10874,Аппаратчик производства фосфорных соединений
10876,Аппаратчик производства фталоцианиновых красителей
10878,Аппаратчик производства фтористого натрия
10880,Аппаратчик производства химических реактивов
10882,Аппаратчик производства хромовых соединений
10884,Аппаратчик производства цианистых металлов
10886,Аппаратчик производства цинкового купороса
10887,Аппаратчик производства цинковой пыли
10889,Аппаратчик производства шампанского
10891,Аппаратчик прокаливания
10893,Аппаратчик промывки
10895,"Аппаратчик промывки мездры, шерсти, щетины и волоса"
10897,Аппаратчик пропитки
10898,Аппаратчик пропитки
10899,Аппаратчик пропитки и сушки асбостальных листов
10901,Аппаратчик пропитки облицовочных материалов
10903,Аппаратчик процесса брожения
10905,Аппаратчик разложения
10907,Аппаратчик рассева
10909,Аппаратчик растворения
10912,Аппаратчик растворения лаковых основ
