prof_standard_code,prof_standard_sphere,prof_standard_type,prof_standard_name
24.007,Атомная промышленность,Ведение технологических процессов хранения отработанного ядерного топлива (ОЯТ),Оператор хранилища отработанного ядерного топлива
24.008,Атомная промышленность,Эксплуатационное обслуживание оборудования и трубопроводов систем реакторного отделения,Оператор реакторного отделения
24.009,Атомная промышленность,Управление проектами в области производства электроэнергии атомными электростанциями,Специалист по управлению проектами и программами в области производства электроэнергии атомными электростанциями
05.003,Физическая культура и спорт,Руководство спортивной подготовкой спортсменов и их коллективов и проведение спортивных мероприятий со спортсменами и их коллективами (спортивными командами),Тренер
15.003,Рыбоводство и рыболовство,Вылов и обработка рыбы и морепродуктов на судах рыбопромыслового флота,Специалист по добыче (вылову) и обработке водных биологических ресурсов на судах рыбопромыслового флота
15.004,Рыбоводство и рыболовство,"Мониторинг водных биологических ресурсов и среды их обитания и управление ими, производство продукции товарной аквакультуры и искусственное воспроизводство водных биологических ресурсов",Специалист по водным биоресурсам и аквакультуре
24.010,Атомная промышленность,Эксплуатация самоходного судна-плавкрана,Руководитель плавкрана (кранмейстер) в области атомного флота
24.011,Атомная промышленность,Эксплуатационное обслуживание двигателей внутреннего сгорания атомных электростанций ,Машинист двигателей внутреннего сгорания в атомной энергетике
24.012,Атомная промышленность,Техническая эксплуатация электрооборудования судов с ядерной энергетической установкой (ЯЭУ) и судов атомного технологического обслуживания (АТО),"Электромеханик судов с ядерной энергетической установкой, судов атомного технологического обслуживания (всех категорий)"
11.001,"Средства массовой информации, издательство и полиграфия",Наладка полиграфического оборудования,Наладчик полиграфического оборудования
25.006,Ракетно-космическая промышленность ,"Организация работ по обеспечению надежности и безопасности разрабатываемых и эксплуатируемых пилотируемых космических кораблей, станций и обитаемых сооружений, располагаемых на небесных телах","Специалист по надежности и безопасности пилотируемых космических кораблей, станций и обитаемых сооружений, располагаемых на небесных телах
"
25.007,Ракетно-космическая промышленность ,Осуществление ведомственной приемки в ракетно-космической промышленности,Специалист-эксперт ведомственной приемки в ракетно-космической промышленности
24.014,Атомная промышленность,Организация технической эксплуатации судов атомного флота,"Специалист по организации технической эксплуатации (атомных паропроизводящих установок, ядерных энергетических установок, электромеханической службы) всех специальностей"
40.013,Сквозные виды профессиональной деятельности,Разработка технологий и программ для станков с числовым программным управлением ,Специалист по разработке технологий и программ для металлорежущих станков с числовым программным управлением
16.005,Строительство и ЖКХ,"Техническое обслуживание и ремонт котельных, работающих
 на твердом топливе
","Специалист по эксплуатации котлов, работающих на твердом топливе"
16.006,Строительство и ЖКХ,"Формирование эффективной системы сбора, накопления, транспортирования, обработки, утилизации, обезвреживания, размещения отходов производства и потребления",Работник в области обращения с отходами
