prof_standard_code,prof_standard_sphere,prof_standard_type,prof_standard_name
30.001,Судостроение,"Проектирование и конструирование судов, плавучих конструкций и их составных частей",Специалист по проектированию и конструированию в судостроении
31.001,Автомобилестроение,Управление производственной системой и ее развитие в производстве транспортных средств и оборудования,Специалист промышленного инжиниринга в автомобилестроении
40.056,Сквозные виды профессиональной деятельности,"Осуществление технической, технологической, маркетинговой и экономической деятельности организации для обеспечения полного жизненного цикла продукции из полимерных материалов и композитов, в том числе наноструктурированных","Специалист по технико-экономическому сопровождению полного жизненного цикла изделий из полимерных материалов и композитов, в том числе наноструктурированных"
31.002,Автомобилестроение,"Монтаж, техническое обслуживание и ремонт мехатронных систем производственного оборудования в автомобилестроении",Работник по мехатронике в автомобилестроении 
31.003,Автомобилестроение,Производство инструментальной оснастки для изготовления автотранспортных средств и их компонентов ,Работник по инструментальной оснастке в автомобилестроении
31.004,Автомобилестроение,Ремонт и обслуживание мехатронных систем автотранспортных средств в автомобилестроении,Специалист по техническому обслуживанию и ремонту мехатронных систем автотранспортных средств и их компонентов в автомобилестроении
30.002,Судостроение,Малярные работы при постройке и ремонте судов и плавучих сооружений,Маляр судовой
06.020,"Связь, информационные и коммуникационные технологии ",Эксплуатационно-техническое обслуживание линейно-кабельных сооружений связи,Кабельщик-спайщик
06.021,"Связь, информационные и коммуникационные технологии ","Монтаж, эксплуатация и техническое обслуживание антенно-мачтовых сооружений ",Антенщик-мачтовик
31.005,Автомобилестроение,Окраска при производстве автотранспортных средств и их компонентов ,Работник окрасочного производства в автомобилестроении
31.006,Автомобилестроение,Разработка дизайн-проектов для производства транспортных средств,Дизайнер автомобилестроения
31.007,Автомобилестроение,Сборка автотранспортных средств и их компонентов,Специалист по сборке автотранспортных средств и их компонентов
25.014,Ракетно-космическая промышленность ,Дефектация изделий ракетной и космической техники,Специалист по дефектации изделий ракетной и космической техники
40.057,Сквозные виды профессиональной деятельности,"Разработка, внедрение и эксплуатация автоматизированных систем управления предприятием (далее – АСУП) в машиностроении",Специалист по автоматизированным системам управления машиностроительным предприятием
31.008,Автомобилестроение,Проведение химико-физических анализов по исследованию свойств материалов при производстве транспортных средств,Химик-технолог в автомобилестроении
31.009,Автомобилестроение,Литейное производство деталей для изготовления автотранспортных средств и их компонентов,Работник литейного производства в автомобилестроении
31.010,Автомобилестроение,Проектирование и конструирование автотранспортных средств и их компонентов,Конструктор в автомобилестроении                                                                                 
30.003,Судостроение,"Контроль технологии и качества выполнения судокорпусных, судомонтажных и трубопроводных работ в ходе постройки, ремонта, испытаний судов, плавучих сооружений и их составных частей","Контролер судокорпусных, судомонтажных и трубопроводных работ"
31.011,Автомобилестроение,Осуществление продаж транспортных средств и оборудования,Специалист по продажам в автомобилестроении
31.012,Автомобилестроение,Исследование рынка автотранспортных средств и их компонентов,Специалист по исследованию и анализу рынка автомобилестроения
30.004,Судостроение,"Гибка и правка деталей листового и профильного проката в заводских условиях при строительстве и ремонте судов, плавучих сооружений и их составных частей",Гибщик судовой
31.013,Автомобилестроение,Термическая обработка деталей при производстве транспортных средств,Специалист по термообработке в автомобилестроении
31.014,Автомобилестроение,Технологическая подготовка и сопровождение производства автотранспортных средств (АТС),Технолог в автомобилестроении                                                                  
31.015,Автомобилестроение,Технологическая подготовка производства транспортных средств и оборудования,Специалист технологической подготовки производства в автомобилестроении
31.016,Автомобилестроение,Кузнечно-прессовые работы при производстве компонентов автотранспортных средств,Работник по прессовым работам в автомобилестроении
31.017,Автомобилестроение,"Обеспечение монтажа, подключения, запуска и сопровождения оборудования при производстве автотранспортных средств и их компонентов",Работник по монтажным и пусконалодочным работам в автомобилестроении
31.018,Автомобилестроение,Управление поставками при производстве транспортных средств и оборудования,Логист автомобилестроения
31.019,Автомобилестроение,Производство изделий методами металлообработки методами при изготовлении компонентов автотранспортных средств,Работник металлообрабатывающего производства в автомобилестроении
31.020,Автомобилестроение,Производство металлических конструкций для производства транспортных средств,Специалист по металлоконструкциям в автомобилестроении
30.005,Судостроение,"Столярные работы при постройке и ремонте судов, плавучих сооружений",Столяр судовой
30.006,Судостроение,Такелажные работы в судостроении,Такелажник судовой
30.007,Судостроение,"Изготовление, ремонт, монтаж и демонтаж судовых трубопроводов",Трубопроводчик судовой
30.008,Судостроение,"Слесарно-ремонтные работы при постройке и ремонте судов, плавучих сооружений и их составных частей",Слесарь-судоремонтник
30.009,Судостроение,"Нанесение и восстановление изоляционных материалов при постройке и ремонте судов, плавучих сооружений и их составных частей",Изолировщик судовой
06.022,"Связь, информационные и коммуникационные технологии ",Исследования и проектирование для координации создания информационно-технологических  систем и продуктов и управления ими,Системный аналитик
13.017,Сельское хозяйство,Организация и выполнение работ по производству продукции растениеводства,Агроном
30.010,Судостроение,"Технологическая подготовка производства верфи для строительства, ремонта, переоборудования, модернизации, сервисного обслуживания, утилизации судов, плавучих сооружений и их составных частей",Технолог судостроения
30.011,Судостроение,Сборочные и монтажно-достроечные работы при постройке и ремонте судов и плавучих сооружений,Сборщик-достройщик судовой
30.012,Судостроение,Сборка и ремонт корпусов металлических судов,Сборщик корпусов металлических судов
30.013,Судостроение,"Слесарно-монтажные работы при постройке и ремонте судов, плавучих сооружений и их составных частей",Слесарь-монтажник судовой
24.025,Атомная промышленность,Эксплуатация и техническое обслуживание транспортно-технологического оборудования реакторного отделения (ТТО ТО) реакторной установки (РУ) ,Оператор транспортно-технологического оборудования реакторного отделения
16.021,Строительство и ЖКХ,Выполнение кровельных и теплоизоляционных работ,Кровельщик
16.022,Строительство и ЖКХ,Выполнение механизированных работ с применением автогрейдера,Машинист автогрейдера
16.023,Строительство и ЖКХ,"Выполнение ремонтных работ, подсобных и вспомогательных работ при устройстве асфальтобетонных покрытий автомобильных дорог",Асфальтобетонщик
16.024,Строительство и ЖКХ,Выполнение механизированных работ с применением асфальтоукладчиков различной производительности,Машинист асфальтоукладчика
16.025,Строительство и ЖКХ,"Организация строительства, реконструкции, капитального ремонта, сноса объектов капитального строительства",Специалист по организации строительства                                                                                                                                                                         
40.058,Сквозные виды профессиональной деятельности,Технологическая подготовка производства и проектирование технологческих процессов изготовления радиоэлектронных средств,Инженер-технолог по производству радиоэлектронных средств
40.059,Сквозные виды профессиональной деятельности,Деятельность в области дизайна и проектирования промышленно изготовляемой продукции ,Промышленный дизайнер
40.060,Сквозные виды профессиональной деятельности,"Профессиональная деятельность в области сертификации и подтверждения соответствия продукции, процессов проектирования (включая изыскания), производства, строительства, монтажа, наладки, эксплуатации, хранения, перевозки, реализации и утилизации, работ, услуг, систем менеджмента, персонала или иных объектов",Специалист по сертификации и подтверждению соответствия
40.061,Сквозные виды профессиональной деятельности,Изготовление деталей на металлорежущих автоматических и полуавтоматических станках и линиях станков,Оператор автоматических и полуавтоматических станков и линий станков
09.001,Юриспруденция,Криминалистическое сопровождение предварительного расследования предступлений,Следователь-криминалист
40.062,Сквозные виды профессиональной деятельности,"Профессиональная деятельность в области качества продукции (работ, услуг)",Специалист по качеству
22.001,"Пищевая промышленность, включая производство  напитков и табака",Управление работой тепловых и холодильных установок при термической обработке пищевых продуктов,Оператор тепловых/холодильных установок
19.001,"Добыча, переработка, транспортировка нефти и газа",Обслуживание и ремонт технологических установок нефтегазовой отрасли,Слесарь технологических установок нефтегазовой отрасли
19.002,"Добыча, переработка, транспортировка нефти и газа","Переработка нефти, газа и химического сырья ","Специалист по химической переработке нефти, газа и химического сырья"
19.003,"Добыча, переработка, транспортировка нефти и газа",Обслуживание и ремонт технологического оборудования организаций переработки нефти и газа,Специалист по обслуживанию и ремонту нефтезаводского оборудования
19.004,"Добыча, переработка, транспортировка нефти и газа","Добыча нефти, газа и газового конденсата","Оператор по добыче нефти, газа и газового конденсата"
19.005,"Добыча, переработка, транспортировка нефти и газа","Технологический контроль строительства нефтяных и газовых скважин, зарезки боковых стволов",Буровой супервайзер в нефтегазовой отрасли
40.063,Сквозные виды профессиональной деятельности,Ведение процесса производства деталей и изделий из полимеров на инжекционно-литьевой машине (термопластавтомате),Оператор инжекционно-литьевой машины (термопластавтомата)
40.064,Сквозные виды профессиональной деятельности,Наладка инжекционно-литьевой машины (термопластавтомата) для производства деталей и изделий из полимеров (пластмасс),Наладчик инжекционно-литьевой машины (термопластавтомата)
40.065,Сквозные виды профессиональной деятельности,Контроль и приемка работ по нанесению лакокрасочных покрытий ,"Контролер малярных работ по нанесению лакокрасочных покрытий на детали, изделия и конструкции"
16.026,Строительство и ЖКХ,Выполнение работ при изготовлении и монтаже армоконструкций,Арматурщик
16.027,Строительство и ЖКХ,Выполнение механизированных работ с применением бульдозера ,Машинист бульдозера
16.028,Строительство и ЖКХ,Выполнение механизированных работ с применением экскаватора,Машинист экскаватора
16.029,Строительство и ЖКХ,"Монтаж систем вентиляции, кондиционирования воздуха, пневмотранспорта и аспирации","Монтажник систем вентиляции, кондиционирования воздуха, пневмотранспорта и аспирации"
16.030,Строительство и ЖКХ,Монтаж оборудования котельных,Монтажник оборудования котельных
16.031,Строительство и ЖКХ,Обеспечение строительного производства строительными машинами и механизмами,"Специалист в области обеспечения строительного производства строительными машинами и механизмами
"
16.032,Строительство и ЖКХ,Организационно-техническое и технологическое обеспечение процесса строительного производства,Специалист в области производственно-технического и технологического обеспечения строительного производства
16.033,Строительство и ЖКХ,Планово-экономическое обеспечение строительного производства,"Специалист в области планово-экономического обеспечения строительного производства
"
16.034,Строительство и ЖКХ,"Обеспечение производственной деятельности строительной организации строительными материалами, изделиями, конструкциями и оборудованием","Специалист в области обеспечения строительного производства материалами и конструкциями
"
32.001,Авиастроение,"Разработка и модернизация бортового радиоэлектронного оборудования самолетов, вертолетов и беспилотных летательных аппаратов ","Специалист по разработке и модернизации бортового радиоэлектронного оборудования летательных аппаратов
"
32.002,Авиастроение,Проектирование и конструирование авиационной техники ,Специалист по проектированию и конструированию авиационной техники
32.003,Авиастроение,"Проектирование и конструирование механических конструкций, узлов и агрегатов систем летательных аппаратов ","Специалист по проектированию и конструированию механических конструкций, узлов и агрегатов систем летательных аппаратов
"
32.004,Авиастроение,Обеспечение прочности авиационных конструкций,Специалист по прочностным расчетам авиационных конструкций
21.002,Легкая и текстильная промышленность,Дизайн детской одежды и обуви,Дизайнер (конструктор) детской одежды и обуви
40.066,Сквозные виды профессиональной деятельности,Ручная доводка и притирка поверхностей машиностроительных деталей,Слесарь-доводчик-притирщик
40.067,Сквозные виды профессиональной деятельности,Ремонт и обслуживание контрольно-измерительных приборов и аппаратуры автоматического регулирования и управления,Слесарь по контрольно-измерительным приборам и автоматике                                  
08.001,Финансы и экономика,"Деятельность по организации, эксплуатации и развитию платежных систем",Специалист в области национальной платежной системы
27.001,Металлургическое производство,Разливка стали в изложницы и на машине непрерывного литья заготовок,Разливщик стали
40.068,Сквозные виды профессиональной деятельности,Введение в эксплуатацию и техническое обслуживание термического оборудования,Специалист по наладке и испытаниям технологического оборудования термического производства
27.002,Металлургическое производство,"Сборка-разборка, комплектование, наладка и перевалка клетей (валков) на прокатных станах, профилегибочных агрегатах и роликовых правильных машинах",Вальцовщик по сборке и перевалке клетей
27.003,Металлургическое производство,Производство холоднокатаного листового проката,Вальцовщик стана холодной прокатки
27.004,Металлургическое производство,Производство проката на станах горячей прокатки,Вальцовщик стана горячей прокатки
27.005,Металлургическое производство,Управление процессом получения листового проката на станах холодной прокатки,Оператор поста управления стана холодной прокатки
27.006,Металлургическое производство,Управление технологическим процессом горячей прокатки ,Оператор поста управления стана горячей прокатки
27.007,Металлургическое производство,Выполнение работ на литейном дворе и в фурменной зоне доменной печи по выпуску чугуна и шлака,Горновой доменной печи
27.008,Металлургическое производство,Управление загрузкой доменной печи шихтовыми материалами,Машинист шихтоподачи
25.015,Ракетно-космическая промышленность ,Разработка системы управления полетами ракет-носителей (далее - РН) и космических аппаратов (далее - КА),Специалист по разработке системы управления полетами ракет-носителей и космических аппаратов
25.016,Ракетно-космическая промышленность ,"Эксплуатация комплексов и систем заправки ракет-носителей, разгонных блоков и космических аппаратовкомпонентами ракетного топлива","Специалист по эксплуатации комплексов и систем заправки ракет носителей, разгонных блоков и космических аппаратов компонентами ракетного топлива"
27.009,Металлургическое производство,Управление работой систем охлаждения и энергообеспечения доменной печи,Водопроводчик доменной печи
27.010,Металлургическое производство,Резка в холодном состоянии металлопроката в соответствии с заказами,Резчик холодного металла
23.001,"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство",Приготовление химических растворов в открытых и закрытых аппаратах различных типов,Аппаратчик приготовления химических растворов
40.069,Сквозные виды профессиональной деятельности,Наладка и испытание технологического оборудования механосборочного производства,Специалист по наладке и испытаниям технологического оборудования механосборочного производства
20.001,Электроэнергетика,Оперативное управление работой смены тепловой электростанции (ТЭС),Работник по оперативному управлению объектами тепловой  электростанции
15.011,Рыбоводство и рыболовство,Производство продуктов питания из водных биоресурсов и объектов аквакультуры,Специалист по технологии продуктов питания из водных биоресурсов и объектов аквакультуры 
40.070,Сквозные виды профессиональной деятельности,Диагностика технологических комплексов кузнечно-штамповочного производства ,Специалист по диагностике технологических комплексов кузнечно-штамповочного производства
27.011,Металлургическое производство,Управление технологическим процессом доменной плавки ,Газовщик доменной печи
40.071,Сквозные виды профессиональной деятельности,Анализ и диагностика технологических комплексов литейного производства,Специалист по анализу и диагностике технологических комплексов литейного производства
27.012,Металлургическое производство,Термическая обработка проката и труб ,Термист проката и труб
40.072,Сквозные виды профессиональной деятельности,"Наладка, регулировка и испытания кузнечно-штамповочного и вспомогательного оборудования в кузнечно-штамповочном производстве",Специалист по наладке и испытаниям технологического оборудования кузнечно-штамповочного производства
40.073,Сквозные виды профессиональной деятельности,Проектирование нестандартного оборудования литейного производства,Специалист по проектированию технологического оборудования литейного производства
27.013,Металлургическое производство,Управление машиной непрерывной разливки стали,Оператор машины непрерывного литья заготовок
27.014,Металлургическое производство,Производство труб и профилей на станах холодного проката,Вальцовщик стана холодного проката труб
27.015,Металлургическое производство,Производство труб и профилей на станах горячего проката,Вальцовщик стана горячего проката труб
27.016,Металлургическое производство,Обработка стали на установках внепечной обработки,Сталевар установки внепечной обработки стали
27.017,Металлургическое производство,Производство стали в конвертере,Сталевар конвертера
27.018,Металлургическое производство,Управление режимами обогрева коксовых печей,Газовщик коксовых печей
27.019,Металлургическое производство,"Спекание шихты из руд и концентратов черных и цветных металлов на агломерационных машинах, в печах спекания",Агломератчик
07.001,Административно-управленческая и офисная деятельность,Медиация (урегулирование споров с помощью процедуры медиации), Специалист в области медиации (медиатор)
27.020,Металлургическое производство,Выплавка стали в электропечах,Сталевар электропечи
08.002,Финансы и экономика,Деятельность в области бухгалтерского учета,Бухгалтер
16.035,Строительство и ЖКХ,Настилка и ремонт паркетных полов,Паркетчик
16.036,Строительство и ЖКХ,Гидроизоляция подземных конструкций и сооружений,Изолировщик на подземных работах в строительстве
23.002,"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство",Эксплуатация и техническое обслуживание лесозаготовительных машин при проведении лесозаготовительных работ,Машинист лесозаготовительной машины
23.003,"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство",Управление гофрировальным аппаратом,Машинист гофрировального агрегата
23.004,"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство",Эксплуатация и техническое обслуживание трелевочных машин при проведении трелевочных работ,Машинист трелевочной машины
23.005,"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство",Управление работой рубительной машины,Машинист рубительной машины в лесопромышленном комплексе
23.006,"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство",Техническое обслуживание и ремонт лесозаготовительных машин и оборудования,Слесарь по ремонту лесозаготовительного оборудования
40.074,Сквозные виды профессиональной деятельности,Обеспечение внедрения новых техники и технологий в кузнечно-штамповочное производство,Специалист по внедрению новой техники и технологий кузнечно-штамповочного производства
16.038,Строительство и ЖКХ,Руководство строительной организацией,Руководитель строительной организации
23.007,"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство",Выполнение работ по нанесению разных видов покрытия на бумажное полотно,Оператор установок по нанесению покрытия на бумажное полотно
40.075,Сквозные виды профессиональной деятельности,Проектирование технологической оснастки для литейного производства,Специалист по технологической оснастке литейного производства
21.003,Легкая и текстильная промышленность,Планирование и исполнение маркетинговых мероприятий в области детских товаров,Специалист в области маркетинга детских товаров
23.008,"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство",Производство двуокиси хлора,Аппаратчик производства двуокиси хлора
23.009,"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство",Управление работой талловой установки,Аппаратчик талловой установки
11.010,"Средства массовой информации, издательство и полиграфия",Деятельность по созданию фотографического изображения с помощью специальных технических средств,Фотограф
16.039,Строительство и ЖКХ,Выполнение работ при остеклении,Стекольщик
16.040,Строительство и ЖКХ,Бестраншейная прокладка подземных инженерных коммуникаций при помощи специализированных мобильных буровых установок горизонтального направленного бурения ,Оператор комплекса горизонтально направленного бурения в строительстве
16.041,Строительство и ЖКХ,Управление микротоннельным проходческим комплексом в строительстве,Оператор по управлению микротоннельным проходческим комплексом в строительстве
16.042,Строительство и ЖКХ,"Выполнение работ при устройстве и ремонте мостовых, берегоукрепительных и выправительных сооружений всех типов",Мостовщик
33.001,"Сервис, оказание услуг населению (торговля, техническое обслуживание, ремонт, предоставление персональных услуг, услуги гостеприимства, общественное питание и пр.)",Предоставление визажных услуг,Специалист по предоставлению визажных услуг
16.043,Строительство и ЖКХ,"Выполнение вспомогательных и основных работ при устройстве, ремонте и содержании автомобильных дорог, искуственных сооружений на них и тротуаров",Дорожный рабочий
33.002,"Сервис, оказание услуг населению (торговля, техническое обслуживание, ремонт, предоставление персональных услуг, услуги гостеприимства, общественное питание и пр.)",Предоставление бытовых косметических услуг,Специалист по предоставлению бытовых косметических услуг
19.006,"Добыча, переработка, транспортировка нефти и газа","Выполнение работ по каротажу, пневмообработке и прострелочно-взрывных работ с использованием каротажной станции",Работник в области каротажа скважин
20.002,Электроэнергетика,Эксплуатация оборудования автоматизированных систем управления технологическими процессами гидроэлектростанции/гидроаккумулирующей электростанции ,Работник по эксплуатации оборудования автоматизированных систем управления технологическими процессами гидроэлектростанции/ гидроаккумулирующей электростанции
23.010,"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство",Управление работой линий в лесопильном производстве,Оператор лесопильных линий
23.011,"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство",Управление работой сушильных установок для древесины,Оператор сушильных установок для древесины
23.012,"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство",Технический контроль качества и управление качеством продукции деревообрабатывающих производств,Специалист по контролю качества в деревообрабатывающем производстве
23.013,"Деревообрабатывающая и целлюлозно-бумажная промышленность, мебельное производство",Управление работой линий облицовывания деталей мебельного производства,Оператор линий облицовывания деталей мебельного производства
