okved_group,year,worker_num
Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,2015,208.66
Транспортировка и хранение,2015,85.313
Деятельность гостиниц и предприятий общественного питания,2015,28.869
Деятельность в области информации и связи,2015,23.164
Деятельность финансовая и страховая,2015,17.302
Деятельность по операциям с недвижимым имуществом,2015,31.356
"Деятельность профессиональная, научная и техническая",2015,38.691
Деятельность административная и сопутствующие дополнительные услуги,2015,30.663
Государственное управление и обеспечение военной безопасности; социальное обеспечение,2015,76.1
Образование,2015,90.334
Деятельность в области здравоохранения и социальных услуг,2015,72.933
"Деятельность в области культуры, спорта, организации досуга и развлечений",2015,17.371
Предоставление прочих видов услуг,2015,22.689
"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",2016,68.272
Добыча полезных ископаемых,2016,17.14
Обрабатывающие производства,2016,237.554
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",2016,25.588
"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",2016,10.814
Строительство,2016,105.016
Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,2016,210.847
Транспортировка и хранение,2016,83.131
Деятельность гостиниц и предприятий общественного питания,2016,28.074
Деятельность в области информации и связи,2016,24.274
Деятельность финансовая и страховая,2016,18.63
Деятельность по операциям с недвижимым имуществом,2016,29.626
"Деятельность профессиональная, научная и техническая",2016,37.266
Деятельность административная и сопутствующие дополнительные услуги,2016,29.565
Государственное управление и обеспечение военной безопасности; социальное обеспечение,2016,72.076
Образование,2016,89.989
Деятельность в области здравоохранения и социальных услуг,2016,73.95
"Деятельность в области культуры, спорта, организации досуга и развлечений",2016,17.95
Предоставление прочих видов услуг,2016,24.514
"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",2017,49.2
Добыча полезных ископаемых,2017,17.4
Обрабатывающие производства,2017,233.1
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",2017,27.0
"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",2017,9.6
Строительство,2017,105.2
Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,2017,202.8
Транспортировка и хранение,2017,79.8
Деятельность гостиниц и предприятий общественного питания,2017,29.3
Деятельность в области информации и связи,2017,22.2
Деятельность финансовая и страховая,2017,17.3
Деятельность по операциям с недвижимым имуществом,2017,30.9
"Деятельность профессиональная, научная и техническая",2017,36.7
Деятельность административная и сопутствующие дополнительные услуги,2017,32.5
Государственное управление и обеспечение военной безопасности; социальное обеспечение,2017,69.7
Образование,2017,90.7
Деятельность в области здравоохранения и социальных услуг,2017,71.3
"Деятельность в области культуры, спорта, организации досуга и развлечений",2017,16.2
Предоставление прочих видов услуг,2017,23.4
"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",2018,48.9
Добыча полезных ископаемых,2018,17.9
Обрабатывающие производства,2018,231.0
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",2018,28.0
"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",2018,10.6
Строительство,2018,107.9
Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,2018,194.0
Транспортировка и хранение,2018,79.4
Деятельность гостиниц и предприятий общественного питания,2018,29.5
Деятельность в области информации и связи,2018,21.3
Деятельность финансовая и страховая,2018,17.1
Деятельность по операциям с недвижимым имуществом,2018,30.0
"Деятельность профессиональная, научная и техническая",2018,37.7
Деятельность административная и сопутствующие дополнительные услуги,2018,33.1
Государственное управление и обеспечение военной безопасности; социальное обеспечение,2018,69.4
Образование,2018,89.6
Деятельность в области здравоохранения и социальных услуг,2018,71.3
"Деятельность в области культуры, спорта, организации досуга и развлечений",2018,15.7
Предоставление прочих видов услуг,2018,23.1
"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",2019,48.1
Добыча полезных ископаемых,2019,18.2
Обрабатывающие производства,2019,224.4
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",2019,27.1
"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",2019,9.6
Строительство,2019,104.3
Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,2019,183.5
Транспортировка и хранение,2019,80.3
Деятельность гостиниц и предприятий общественного питания,2019,28.8
Деятельность в области информации и связи,2019,20.3
Деятельность финансовая и страховая,2019,15.2
Деятельность по операциям с недвижимым имуществом,2019,28.1
"Деятельность профессиональная, научная и техническая",2019,38.1
Деятельность административная и сопутствующие дополнительные услуги,2019,30.8
